annmae1	Annulohypoxylon	maeteangense	CBS123835	v1.0		Annmae1	20210414	jgi	Franco MEE et al.,2021	annmae1.fa		sordariomyceta	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Xylariomycetidae	Xylariales	Hypoxylaceae					starfish	mycodb	tyr															
annmin1	Annulohypoxylon	minutellum	CBS135445	v1.0		Annmin1	20210414	jgi	Franco MEE et al.,2021	annmin1.fa		sordariomyceta	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Xylariomycetidae	Xylariales	Hypoxylaceae					starfish	mycodb	tyr															
annmor1	Annulohypoxylon	moriforme	CBS123579	v1.0		Annmor1	20210414	jgi	Franco MEE et al.,2021	annmor1.fa		sordariomyceta	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Xylariomycetidae	Xylariales	Hypoxylaceae					starfish	mycodb	tyr															
annnit1	Annulohypoxylon	nitens	CBS120705	v1.0		Annnit1	20210414	jgi	Franco MEE et al.,2021	annnit1.fa		sordariomyceta	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Xylariomycetidae	Xylariales	Hypoxylaceae					starfish	mycodb	tyr															
annsty1	Annulohypoxylon	stygium	FL0470	v1.0		Annsty1	20210414	jgi	Franco MEE et al.,2021	annsty1.fa		sordariomyceta	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Xylariomycetidae	Xylariales	Hypoxylaceae					starfish	mycodb	tyr															
anntru1	Annulohypoxylon	truncatum	CBS140777	v1.0		Anntru1	20210414	jgi	Franco MEE et al.,2021	anntru1.fa		sordariomyceta	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Xylariomycetidae	Xylariales	Hypoxylaceae					starfish	mycodb	tyr															
antflo1	Anthracocystis	flocculosa	PF1	20140811	SAMN02981510	SAMN02981510	20210414	ncbi	2013/06/27	antflo1.fa	/home/adrian/Systematics/Starship_Database/starbase/SQL/data/faa/captain/tyr/mycodb/YRsuperfamRefs.part_antflo1_EPQ28709.1.faa	Opisthokonta	Fungi	Basidiomycota	Ustilaginomycotina	Ustilaginomycetes		Ustilaginales	Ustilaginaceae					starfish	mycodb	tyr														YRsuperfamRefs.part_antflo1_EPQ28709.1.faa	80916bf4ca963c26d071cf12cec91f2f
antflo2	Anthracocystis	flocculosa		20190823	SAMEA104710652	SAMEA104710652	20210414	ncbi	2019/08/23	antflo2.fa		Opisthokonta	Fungi	Basidiomycota	Ustilaginomycotina	Ustilaginomycetes		Ustilaginales	Ustilaginaceae					starfish	mycodb	tyr															
antloc1	Antonospora	locustae	HM2013	0.0		Antlo1	20210414	jgi	Slamovits CH et al.,2004~Corradi N et al.,2007	antloc1.fa		Opisthokonta	Fungi	Microsporidia										starfish	mycodb	tyr															
antser1	Antrodia	serialis	Sig1Antser10	v1.0		Antser1	20210414	jgi	Hage H et al.,2021	antser1.fa		Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes		Polyporales	Fomitopsidaceae					starfish	mycodb	tyr															
